,X,Модуль,Фаза
0,0,65.0,0.0
1,1,1.007273987871611,0.04908738521234112
2,1,1.029652862127791,0.0981747704246809
3,1,1.0689154920855295,0.14726215563702164
4,1,1.1284280886542968,0.19634954084936326
5,1,1.2139163040137122,0.24543692606170425
6,0,1.335009120191165,0.29452431127404605
7,0,1.508448572254354,0.34361169648638834
8,0,1.7653668647301684,0.3926990816987312
9,0,2.1701012979100516,0.4417864669110607
10,0,2.8793721254204607,0.49087385212340723
11,1,4.398770472980422,0.5399612373357506
12,1,9.762989743576572,0.5890486225480874
13,1,38.691142935510875,-2.5034566458293686
14,1,6.416826965753831,-2.4543692606170233
15,1,3.4981183789925794,-2.4052818754046807
16,0,2.414213562373101,-2.3561944901923395
17,0,1.8547638642531865,-2.3071071049800027
18,0,1.5175261852851925,-2.2580197197676566
19,0,1.2953905437657893,-2.2089323345553327
20,0,1.140891769977806,-2.1598449493429803
21,1,1.0298672182930775,-2.1107575641306298
22,1,0.9488260718627126,-2.0616701789182925
23,1,0.8897614441753879,-2.012582793705992
24,1,0.8477590650225766,-1.9634954084935563
25,1,0.8198061133307399,-1.914408023281285
26,0,0.8041761969286401,-1.865320638068929
27,0,0.8001261712538315,-1.8162332528565799
28,0,0.807793782431833,-1.7671458676442295
29,0,0.8282659879556359,-1.7180584824319403
30,0,0.8638526414022043,-1.668971097219576
31,1,0.9186913995816515,-1.619883712007214
32,1,1.0000000000000175,-1.5707963267948497
33,1,1.120782084818354,-1.52170894158255
34,1,1.3062738186720313,-1.47262155637021
35,1,1.6118120743871136,-1.4235341711579015
36,0,2.1854177428991024,-1.3744467859455456
37,0,3.5986475994261076,-1.3253594007331877
38,0,12.140361503939552,-1.2762720155208407
39,0,7.827249469613539,1.9144080232812895
40,0,2.8477590650225477,1.9634954084936131
41,1,1.7055427555546352,2.0125827937059713
42,1,1.202424557893984,2.061670178918302
43,1,0.9213091309337457,2.1107575641306062
44,1,0.7430670352184948,2.159844949343002
45,1,0.6207982610331921,2.208932334555299
46,0,0.5323096169705156,2.2580197197679204
47,0,0.4657480437543559,2.3071071049800773
48,0,0.414213562373138,2.356194490192448
49,0,0.3734218448742818,2.4052818754047447
50,0,0.3405760751478102,2.454369260616941
51,1,0.3137762439371763,2.5034566458291527
52,1,0.2916892406750952,2.552544031041527
53,1,0.2733546942900733,2.6016314162539116
54,1,0.25806564863856746,2.650718801466504
55,1,0.24529252043817287,2.6998061866788245
56,0,0.23463313526984653,2.748893571890923
57,0,0.2257790430593602,2.797980957103089
58,0,0.21849232058676696,2.847068342315251
59,0,0.21258932579229642,2.896155727528215
60,0,0.20792918718424833,2.945243112740704
61,1,0.20440560755692877,2.9943304979527556
62,1,0.2019410568671084,3.043417883165464
63,1,0.20048274779117645,3.092505268377261
64,1,13.0,-3.1415926535897873
65,1,0.20048274779090666,-3.092505268377713
66,0,0.2019410568670813,-3.0434178831649628
67,0,0.2044056075569388,-2.994330497952522
68,0,0.2079291871842379,-2.9452431127405756
69,0,0.21258932579216813,-2.8961557275284484
70,0,0.21849232058687515,-2.8470683423154677
71,1,0.22577904305943935,-2.7979809571034173
72,1,0.23463313527000682,-2.7488935718910334
73,1,0.24529252043800334,-2.6998061866788277
74,1,0.2580656486384876,-2.6507188014660557
75,1,0.2733546942902511,-2.6016314162544583
76,0,0.29168924067514695,-2.552544031041678
77,0,0.3137762439370425,-2.5034566458301772
78,0,0.34057607514782406,-2.4543692606169913
79,0,0.3734218448742914,-2.405281875404751
80,0,0.4142135623730745,-2.3561944901927956
81,1,0.46574804375429096,-2.3071071049799805
82,1,0.5323096169703798,-2.258019719767693
83,1,0.6207982610332126,-2.2089323345552434
84,1,0.7430670352184062,-2.159844949342947
85,1,0.9213091309336299,-2.110757564130515
86,0,1.202424557893941,-2.061670178918344
87,0,1.7055427555545446,-2.012582793705945
88,0,2.847759065022504,-1.9634954084935818
89,0,7.827249469613624,-1.9144080232812728
90,0,12.140361503939733,1.2762720155208473
91,1,3.5986475994260876,1.325359400733225
92,1,2.185417742899083,1.37444678594554
93,1,1.6118120743872202,1.423534171157914
94,1,1.3062738186721483,1.4726215563702085
95,1,1.1207820848185173,1.5217089415825995
96,0,0.9999999999999786,1.5707963267949456
97,0,0.9186913995815679,1.6198837120071683
98,0,0.8638526414022113,1.6689710972195024
99,0,0.8282659879557852,1.7180584824317764
100,0,0.8077937824318173,1.7671458676443148
101,1,0.8001261712537778,1.816233252856624
102,1,0.8041761969285589,1.8653206380689713
103,1,0.8198061133307122,1.9144080232814438
104,1,0.8477590650223683,1.9634954084934715
105,1,0.8897614441753563,2.012582793705973
106,0,0.9488260718626712,2.0616701789183427
107,0,1.0298672182930597,2.110757564130709
108,0,1.1408917699776846,2.159844949343018
109,0,1.2953905437658924,2.208932334555295
110,0,1.5175261852852662,2.2580197197676393
111,1,1.854763864253141,2.307107104980048
112,1,2.414213562373058,2.3561944901923684
113,1,3.4981183789925425,2.405281875404687
114,1,6.416826965754085,2.4543692606170593
115,1,38.691142935511145,2.5034566458293552
116,0,9.762989743576554,-0.5890486225480716
117,0,4.3987704729806465,-0.5399612373357402
118,0,2.879372125420519,-0.4908738521234026
119,0,2.1701012979102985,-0.44178646691091805
120,0,1.7653668647304575,-0.39269908169868606
121,1,1.5084485722542842,-0.3436116964864024
122,1,1.335009120191243,-0.29452431127406564
123,1,1.2139163040139194,-0.2454369260617732
124,1,1.128428088654539,-0.19634954084949746
125,1,1.0689154920856614,-0.1472621556372029
126,0,1.0296528621277385,-0.09817477042476705
127,0,1.0072739878716477,-0.04908738521247416
